Name,Article 1,Created time,Likes,Number,Post,Substack,Tags
Iceberg of metrics,,"July 31, 2025 1:59 PM",67,11,https://www.linkedin.com/posts/nekrasovdy_why-are-your-metrics-misleading-you-because-activity-7308488476084101121-OOnS?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Categorization
5 Levels of Explaining Metrics,https://blog.jetmetrics.io/p/the-5-levels-of-explaining-metrics?r=4qhbbx,"July 31, 2025 1:59 PM",69,12,https://www.linkedin.com/posts/nekrasovdy_from-conversion-is-down-to-we-lost-38k-activity-7342865476345036801-bmx1?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Levels
Hidden patterns from metric overlaps,https://jetmetrics.substack.com/p/15-hidden-patterns-from-metrics-overlap,"July 31, 2025 1:59 PM",1495,13,https://www.linkedin.com/posts/nekrasovdy_you-think-you-know-whats-going-on-until-activity-7318323121785069568-NaEL?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Interpretation, Metric combination, Misleading"
The Metrics Gearbox,,"July 31, 2025 1:59 PM",88,14,https://www.linkedin.com/posts/nekrasovdy_why-are-you-tracking-ltv-if-your-business-activity-7338937880284672001-rVdT?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Categorization, Process"
The Analytics Pain Ladder,,"July 31, 2025 1:59 PM",32,15,https://www.linkedin.com/posts/nekrasovdy_analytics-activity-7340302593010692102-Uc7J?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Levels
Growth leaks in funnel,,"July 31, 2025 1:59 PM",82,16,https://www.linkedin.com/posts/nekrasovdy_cro-ecommerce-funnel-activity-7317906341493153795-7a7E?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,CR
Pro tips to set a realistic sales plan,,"July 31, 2025 1:59 PM",10,17,https://www.linkedin.com/posts/nekrasovdy_sales-ecommerce-planning-activity-7313158138478665729-MZdx?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Tips
The Strategic Guide to Growing CAR,,"July 31, 2025 1:59 PM",151,18,https://www.linkedin.com/posts/nekrasovdy_cart-abandonment-rate-is-high-fix-it-activity-7349357403177369600-SM_S?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"CR, Guide"
Don’t trust AOV alone,https://blog.jetmetrics.io/p/dont-trust-aov-alone-it-can-rise?r=4qhbbx,"July 31, 2025 1:59 PM",945,19,https://www.linkedin.com/posts/nekrasovdy_aov-activity-7330251961289588736-2R9a?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"AOV, Interpretation, Metric combination, Misleading"
E-com App marketing board game in 2025,,"July 31, 2025 1:59 PM",66,20,https://www.linkedin.com/posts/nekrasovdy_95-never-reach-loyalty-thats-the-real-activity-7353689770348208129-vjot?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"CR, Process, Stats"
Why your reports don’t give answers,,"July 31, 2025 1:59 PM",30,21,https://www.linkedin.com/posts/nekrasovdy_99-e-commerce-dashboards-have-these-issues-activity-7318953138009391104-UfyF?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Reports
Maze,,"July 31, 2025 1:59 PM",39,22,https://www.linkedin.com/posts/nekrasovdy_welcome-to-the-analytics-maze-youll-need-activity-7351931058390560769-93FH?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Base, Metric maps"
E-commerce Metrics as Chess Pieces,,"July 31, 2025 1:59 PM",145,23,https://www.linkedin.com/posts/nekrasovdy_are-you-prioritizing-the-wrong-metrics-activity-7335279213647654914-rLb4?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Categorization
Metrics that sound good? but tell you nothing,,"July 31, 2025 1:59 PM",210,25,https://www.linkedin.com/posts/nekrasovdy_roas-is-high-so-were-good-not-always-activity-7344311752966209537-13Mk?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Categorization, Misleading"
How to Analyze Seasonality,,"July 31, 2025 1:59 PM",29,24,https://www.linkedin.com/posts/nekrasovdy_sales-dropped-is-it-a-real-problem-or-just-activity-7308808857407905793-b74M?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Guide
4 stages of retention decay,,"July 31, 2025 1:59 PM",51,26,https://www.linkedin.com/posts/nekrasovdy_retention-ltv-ecommerce-activity-7311349767828070401-Jbt3?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Levels, Retention"
Tricky metrics that may mislead,https://blog.jetmetrics.io/p/10-metrics-youre-probably-misreading?r=4qhbbx,"July 31, 2025 1:59 PM",100,27,https://www.linkedin.com/posts/nekrasovdy_metrics-ecommerce-analytics-activity-7314977802364043264-Kr0W?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Misleading
How to find out why a metric dropped,https://blog.jetmetrics.io/p/6-step-framework-to-quickly-pinpoint?r=4qhbbx,"July 31, 2025 1:59 PM",742,28,https://www.linkedin.com/posts/nekrasovdy_analytics-describing-what-happened-it-activity-7346151424528953344-DReu?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Algorithm, Base"
6 insights from LinkedIn polls,,"July 31, 2025 1:59 PM",5,29,https://www.linkedin.com/posts/nekrasovdy_linkedin-polls-are-a-great-opportunity-to-activity-7310703865471938561-tdJb?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Stats
Beware of the Metric Trap,,"July 31, 2025 1:59 PM",79,30,https://www.linkedin.com/posts/nekrasovdy_the-hidden-trap-in-e-commerce-analytics-activity-7308072676630192129-N89r?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Misleading
5 types of relationships between metrics,https://jetmetrics.substack.com/p/5-types-of-metric-relationships-and,"July 31, 2025 1:59 PM",186,31,https://www.linkedin.com/posts/nekrasovdy_2-metrics-move-together-so-they-must-be-activity-7341013194473103363-H5PE?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Base
7 ways to measure retention in e-commerce,https://jetmetrics.substack.com/p/why-your-retention-breaks-even-when,"July 31, 2025 1:59 PM",116,32,https://www.linkedin.com/posts/nekrasovdy_retention-isnt-just-a-of-repeat-customers-activity-7349035499291881479-uRVR?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Levels, Retention"
What do you see in your dashboard,,"July 31, 2025 1:59 PM",38,33,https://www.linkedin.com/posts/nekrasovdy_your-dashboard-says-add-to-cart-rate-is-53-activity-7312804249090842624-gemO?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Base, Reports"
Focus on levers. Not only on outcomes,,"July 31, 2025 1:59 PM",73,34,https://www.linkedin.com/posts/nekrasovdy_you-probably-track-result-metrics-but-do-activity-7338485707360866304-npbj?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Metric combination
LTV,,"July 31, 2025 1:59 PM",,35,,No,"LTV, Levels"
Metrics average don’t explain,https://jetmetrics.substack.com/p/averages-are-lying-to-you-heres-what,"July 31, 2025 1:59 PM",486,36,https://www.linkedin.com/posts/nekrasovdy_averages-dont-explain-segments-do-your-activity-7352316249890058242-md58?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Metric combination, Misleading"
What CR doesn’t tell you,,"July 31, 2025 1:59 PM",79,38,https://www.linkedin.com/posts/nekrasovdy_what-cr-doesnt-tell-you-but-7-components-activity-7356307106678947840-PLWn?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,CR
14 types of underperforming products in e-commerce,https://jetmetrics.substack.com/p/how-to-identify-and-fix-underperforming,"July 31, 2025 1:59 PM",47,37,https://www.linkedin.com/posts/nekrasovdy_14-types-of-underperforming-products-in-e-commerce-activity-7346520357752729600-tHEG?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Categorization
How discounting influence your metrics,https://jetmetrics.substack.com/p/how-discounting-kills-your-metrics,"July 31, 2025 1:59 PM",48,39,https://www.linkedin.com/posts/nekrasovdy_short-term-growth-long-term-mess-discounts-activity-7355896092951035904-fd-9?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Discount, Metric combination"
Metrics maps vs Flat dashboards,,"July 31, 2025 1:59 PM",70,40,https://www.linkedin.com/posts/nekrasovdy_youd-not-use-a-list-of-street-names-instead-activity-7350126887630712832-djiv?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Base, Reports"
Same LTV. Totally different business,,"July 31, 2025 1:59 PM",151,41,https://www.linkedin.com/posts/nekrasovdy_same-ltv-180-two-completely-different-activity-7354077043002695680-_6z9?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Interpretation, LTV, Metric combination"
E-commerce Growth Flywheel,,"July 31, 2025 1:59 PM",238,42,https://www.linkedin.com/posts/nekrasovdy_dont-start-with-kpis-start-with-what-needs-activity-7320458822743937024-x-QG?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Process
Disconnected analytics is a losing deck,,"August 8, 2025 11:41 AM",12,44,https://www.linkedin.com/posts/nekrasovdy_disconnected-analytics-is-a-%F0%9D%97%B9%F0%9D%97%BC%F0%9D%98%80%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B4-activity-7359153638549635074-m3qI?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Base, Misleading"
You’re optimizing the wrong repeat,,"August 8, 2025 11:42 AM",58,43,https://www.linkedin.com/posts/nekrasovdy_not-all-repeat-purchases-is-good-some-is-activity-7358430418188058625-bkZN?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Retention
"052 Same CR, different funnel",,"September 2, 2025 7:39 PM",71,52,https://www.linkedin.com/posts/nekrasovdy_would-you-rather-lose-people-at-the-top-activity-7368614415736274947-YFTw?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"CR, Interpretation, Metric combination"
051 Add to Cart Rate Driver Tree,,"September 2, 2025 7:39 PM",92,51,https://www.linkedin.com/posts/nekrasovdy_cro-activity-7368209842458521601-zacG?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"ATCR, CR"
050 From bestsellers to dead stock,,"September 2, 2025 7:39 PM",24,50,https://www.linkedin.com/posts/nekrasovdy_up-to-80-of-revenue-comes-from-just-30-activity-7363974538918817794-ZxvM?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Categorization
049 Profitability under pressure,,"September 2, 2025 7:39 PM",47,49,https://www.linkedin.com/posts/nekrasovdy_profit-doesnt-disappear-it-melts-ad-activity-7363490451389145094-bD4d?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Process
047 17 fixes that boost more than one metric,,"September 2, 2025 7:39 PM",61,47,https://www.linkedin.com/posts/nekrasovdy_stop-fixing-1-metric-at-a-time-some-changes-activity-7361419063983489024-vywI?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Metric combination
048 Don’t measure everything. Navigate.,,"September 2, 2025 7:39 PM",46,48,https://www.linkedin.com/posts/nekrasovdy_if-you-measure-everything-you-move-%F0%9D%97%BB%F0%9D%97%BC%F0%9D%98%84-activity-7363134494133964801-gVIy?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Process
046 8 e-commerce metrics you’ve never tracked,,"September 2, 2025 7:39 PM",75,46,https://www.linkedin.com/posts/nekrasovdy_8-e-commerce-metrics-youve-probably-never-activity-7361115985581395970-K3uV?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Metrics list
045 Shadow  metrics tell the truth.,,"September 2, 2025 7:39 PM",50,45,https://www.linkedin.com/posts/nekrasovdy_bright-metrics-lie-shadow-metrics-tell-the-activity-7359519081823199232-SDN8?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Metric combination
053 LTV by segments is  hidden  gold,,"October 3, 2025 2:01 PM",39,53,https://www.linkedin.com/posts/nekrasovdy_average-ltv-is-the-most-dangerous-number-activity-7369005636912578560-TqRv?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"LTV, Segments"
057 Metrics Overlap New,https://jetmetrics.substack.com/p/15-hidden-patterns-from-metrics-overlap,"October 9, 2025 12:23 PM",38,57,https://www.linkedin.com/posts/nekrasovdy_20-two-metrics-shifting-at-once-that-activity-7372272480050307072-OJWo?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Metric combination
055 Fundamental Mistakes in Working with Metrics,https://jetmetrics.substack.com/p/9-mistakes-that-kill-the-value-of,"October 9, 2025 12:23 PM",104,55,https://www.linkedin.com/posts/nekrasovdy_numbers-dont-lie-but-the-way-we-read-them-activity-7371465099582099456-MbZa?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Interpretation, Misleading"
056 Is this a vanity metric,https://jetmetrics.substack.com/p/why-your-metrics-dont-lead-to-decisions,"October 9, 2025 12:23 PM",50,56,https://www.linkedin.com/posts/nekrasovdy_metrics-kpi-activity-7371824841525587968-s3TO?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Base
059 7 Analytics Myths and what to do instead,,"October 9, 2025 12:23 PM",24,59,https://www.linkedin.com/posts/nekrasovdy_datadriven-analytics-activity-7374027301757415424-BwY_?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,"Interpretation, Misleading"
054 E-commerce Metrics Health Check,,"October 9, 2025 12:23 PM",104,54,https://www.linkedin.com/posts/nekrasovdy_you-dont-need-more-dashboards-you-need-activity-7369368507030867969-lP_2?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Guide
060 30 hypotheses for improving Average Items per Order metric,,"October 9, 2025 12:23 PM",80,60,https://www.linkedin.com/posts/nekrasovdy_aov-metrics-activity-7375844065524834305-yHzJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Drivers
058 4 leverages of how to drive,,"October 9, 2025 12:23 PM",41,58,https://www.linkedin.com/posts/nekrasovdy_aov-metrics-activity-7373648565778280449-Bzjw?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"AOV, Drivers"
064 The Hateful Ten,,"October 9, 2025 12:23 PM",20,64,https://www.linkedin.com/posts/nekrasovdy_10-customer-segments-that-hurt-your-margin-activity-7378383142665138176-icWv?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Segments
065 New Old way,,"October 9, 2025 12:23 PM",15,65,https://www.linkedin.com/posts/nekrasovdy_dashboards-analytics-activity-7381684314499006464-2xXz?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Base
062 Simpson’s paradox explanation,,"October 9, 2025 12:23 PM",35,62,https://www.linkedin.com/posts/nekrasovdy_aov-activity-7376939312241618945-6CWi?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Interpretation
061 Same CAC. Different Unit Economics,,"October 9, 2025 12:23 PM",39,61,https://www.linkedin.com/posts/nekrasovdy_businesspuzzle-activity-7376201014623936512-je3H?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"CAC, Interpretation, Metric combination"
063 4-Layer Dashboard Model,,"October 9, 2025 12:23 PM",30,63,https://www.linkedin.com/posts/nekrasovdy_dashboards-activity-7377280136083206144-ZZvL?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Dashboards, Levels, Process"
076 Your CEO doesn’t care about your CTR,https://blog.jetmetrics.io/p/which-metrics-matter-for-your-role?r=4qhbbx,"November 12, 2025 12:16 PM",60,76,https://www.linkedin.com/posts/nekrasovdy_what-you-track-what-you-care-about-this-activity-7393916096824639488-6YgJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Categorization, Metrics list"
075 How a Vanity Metric Becomes Useful 1,,"November 12, 2025 12:16 PM",29,75,https://www.linkedin.com/posts/nekrasovdy_every-dashboard-has-metrics-that-mean-nothing-activity-7391526342586146816-VbSn?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Guide
074 4 leverages of how to drive,https://jetmetrics.substack.com/p/if-you-want-to-grow-ltv-dont-start,"November 12, 2025 12:16 PM",71,74,https://www.linkedin.com/posts/nekrasovdy_most-people-talk-about-ltv-as-if-its-a-single-activity-7388854057685225472-NTgp?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Drivers, LTV"
073 Logic-first Dashboards Cascade,,"November 12, 2025 12:16 PM",46,73,https://www.linkedin.com/posts/nekrasovdy_most-teams-polish-visuals-few-design-the-activity-7388606152466649088-Iav_?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Dashboards
070 3 dashboard types – 1 foundation,,"November 12, 2025 12:16 PM",74,70,https://www.linkedin.com/posts/nekrasovdy_dashboards-metricsmap-activity-7386375032740065280-2xnJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Dashboards
071 Core map,,"November 12, 2025 12:16 PM",49,71,https://www.linkedin.com/posts/nekrasovdy_everyone-talks-about-traffic-and-ads-but-activity-7386784504754913280-DJ36?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Metric maps
"068 Conversion ↑, Profit ↓",https://blog.jetmetrics.io/p/cr-profit-dont-panic-start-here?r=4qhbbx,"November 12, 2025 12:16 PM",34,68,https://www.linkedin.com/posts/nekrasovdy_cr-metrics-activity-7384903638013616129-uv9J?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Metric combination
069 The Nothing Changed Problem,,"November 12, 2025 12:16 PM",14,69,https://www.linkedin.com/posts/nekrasovdy_the-most-dangerous-trend-in-analytics-isn-activity-7386017220088279040-8YlC?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,No,Interpretation
066 Dots and connections,,"November 12, 2025 12:16 PM",32,66,https://www.linkedin.com/posts/nekrasovdy_a-single-metric-is-just-a-point-analytics-activity-7383481662342361089-IYE3?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Base
067 7 ways to decompose a key metric,https://blog.jetmetrics.io/p/7-ways-to-break-down-aov?r=4qhbbx,"November 12, 2025 12:16 PM",90,67,https://www.linkedin.com/posts/nekrasovdy_aov-activity-7384226766934130689-gqNY?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Dashboards
081 How to structure dashboards the right way,,"December 1, 2025 1:15 PM",48,81,https://www.linkedin.com/posts/nekrasovdy_dashboards-dont-need-more-kpis-they-need-activity-7400173674353324032-o7GI?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Dashboards
080 Reduce cart abandonment Guide,,"December 1, 2025 1:15 PM",116,80,https://www.linkedin.com/posts/nekrasovdy_most-teams-treat-cart-abandonment-like-a-activity-7399379293060894721-o8-7?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"CAR, CR, Drivers"
079 How Store’s Costs Are Formed,,"December 1, 2025 1:15 PM",63,79,https://www.linkedin.com/posts/nekrasovdy_most-e-commerce-dashboards-show-a-lot-of-activity-7397577475033210880-s6eZ?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Metric maps
078 The 4 layers of a Metrics System,https://jetmetrics.substack.com/p/metric-maps-vs-metric-trees-part,"December 1, 2025 1:15 PM",66,78,https://www.linkedin.com/posts/nekrasovdy_most-teams-work-with-metrics-but-very-activity-7397271070212263936-FZJD?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Levels
077 10 ways to slice your metrics,https://blog.jetmetrics.io/p/10-ways-to-slice-your-metrics?r=4qhbbx,"December 1, 2025 1:15 PM",62,77,https://www.linkedin.com/posts/nekrasovdy_10-useful-slices-for-e-commerce-metrics-activity-7394311508551254016-vgqK?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,Segments
083 Metrics map ≠ metrics tree,https://jetmetrics.substack.com/p/metric-maps-vs-metric-trees-part,"January 6, 2026 1:04 PM",86,83,https://www.linkedin.com/posts/nekrasovdy_metrics-map-metrics-tree-this-is-a-consequence-activity-7401557436656140288-Vn1S?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhfNyQBniwEYwAp5VwI-MFYKHSI4anT__Y,Yes,"Metric maps, Metric trees"
